MP3 File,Highest pitch,Lowest pitch,Mean Pitch,Average Highest Pitch,Average Lowest Pitch
Abdul-Basit_Abdul-Samad.mp3,32767,-32768,61.46673578285481,16414.23336789143,-16353.266632108573
Ahmed_Al-Agamy.mp3,17489,-23463,9.355076092762914,8749.177538046382,-11726.822461953618
Al-Sudais.mp3,32767,-32768,-5.595078943598559,16380.7024605282,-16386.797539471798
Ali_Jaber.mp3,20988,-20477,-0.43515621021743556,10493.782421894892,-10238.717578105108
Bandar_Balila.mp3,16191,-16470,-26.914402346586783,8082.0427988267065,-8248.457201173293
Fares_Abbad.mp3,27292,-26889,-8.201025706713418,13641.899487146644,-13448.600512853356
Hassan_Saleh.mp3,26226,-23074,-1.2165674671273414,13112.391716266437,-11537.608283733563
Ibrahim_Al-Akhdar.mp3,32767,-29257,6.503173839722579,16386.75158691986,-14625.248413080139
Mahmoud_Khalil_Al-Hosary.mp3,22719,-28429,36.669004030970626,11377.834502015485,-14196.165497984515
Mishari_Al-afasi.mp3,31797,-31517,-3.795541243779008,15896.60222937811,-15760.39777062189
Muhammad_Siddiq_Al-Minshawi.mp3,26060,-29989,-0.44192778161834534,13029.77903610919,-14994.72096389081
Saad_Al-Ghamdi.mp3,20320,-15781,-0.6364603698273054,10159.681769815086,-7890.818230184914
